,material,location,commodity_wt,date,location_type
0,Aluminum,Magnolia & Alice,460.0,2018-01-01,drop off center
1,"Plastics (""Commingled"")",Magnolia & Alice,8840.0,2018-01-01,drop off center
2,Glass,Magnolia & Alice,15680.0,2018-01-01,drop off center
3,Mixed Paper,Magnolia & Alice,12800.0,2018-01-01,drop off center
4,Cardboard,Magnolia & Alice,10720.0,2018-01-01,drop off center
5,Steel/Tin,Magnolia & Alice,520.0,2018-01-01,drop off center
6,Newspaper,Magnolia & Alice,3440.0,2018-01-01,drop off center
7,All Mixed (no glass),Magnolia & Alice,,2018-01-01,drop off center
8,Aluminum,225 Moody,300.0,2018-01-01,drop off center
9,"Plastics (""Commingled"")",225 Moody,4957.0,2018-01-01,drop off center
10,Glass,225 Moody,6300.0,2018-01-01,drop off center
11,Mixed Paper,225 Moody,6360.0,2018-01-01,drop off center
12,Cardboard,225 Moody,5455.0,2018-01-01,drop off center
13,Steel/Tin,225 Moody,760.0,2018-01-01,drop off center
14,Newspaper,225 Moody,11700.0,2018-01-01,drop off center
15,All Mixed (no glass),225 Moody,,2018-01-01,drop off center
16,Aluminum,4440 Western Av.,680.0,2018-01-01,drop off center
17,"Plastics (""Commingled"")",4440 Western Av.,5540.0,2018-01-01,drop off center
18,Glass,4440 Western Av.,14520.0,2018-01-01,drop off center
19,Mixed Paper,4440 Western Av.,10420.0,2018-01-01,drop off center
20,Cardboard,4440 Western Av.,9200.0,2018-01-01,drop off center
21,Steel/Tin,4440 Western Av.,1200.0,2018-01-01,drop off center
22,Newspaper,4440 Western Av.,0.0,2018-01-01,drop off center
23,All Mixed (no glass),4440 Western Av.,,2018-01-01,drop off center
24,Aluminum,341 Parkvillage,1940.0,2018-01-01,drop off center
25,"Plastics (""Commingled"")",341 Parkvillage,13940.0,2018-01-01,drop off center
26,Glass,341 Parkvillage,29260.0,2018-01-01,drop off center
27,Mixed Paper,341 Parkvillage,32260.0,2018-01-01,drop off center
28,Cardboard,341 Parkvillage,24780.0,2018-01-01,drop off center
29,Steel/Tin,341 Parkvillage,1920.0,2018-01-01,drop off center
30,Newspaper,341 Parkvillage,16040.0,2018-01-01,drop off center
31,All Mixed (no glass),341 Parkvillage,,2018-01-01,drop off center
32,Aluminum,227 Willow Av.,426.0,2018-01-01,other
33,"Plastics (""Commingled"")",227 Willow Av.,3020.0,2018-01-01,other
34,Glass,227 Willow Av.,15820.0,2018-01-01,other
35,Mixed Paper,227 Willow Av.,6560.0,2018-01-01,other
36,Cardboard,227 Willow Av.,3980.0,2018-01-01,other
37,Steel/Tin,227 Willow Av.,540.0,2018-01-01,other
38,Newspaper,227 Willow Av.,3740.0,2018-01-01,other
39,All Mixed (no glass),227 Willow Av.,,2018-01-01,other
40,Aluminum,Curbside City-Wide,,2018-01-01,other
41,"Plastics (""Commingled"")",Curbside City-Wide,,2018-01-01,other
42,Glass,Curbside City-Wide,,2018-01-01,other
43,Mixed Paper,Curbside City-Wide,,2018-01-01,other
44,Cardboard,Curbside City-Wide,,2018-01-01,other
45,Steel/Tin,Curbside City-Wide,,2018-01-01,other
46,Newspaper,Curbside City-Wide,,2018-01-01,other
47,All Mixed (no glass),Curbside City-Wide,685020.0,2018-01-01,other
48,Aluminum,Downtown,,2018-01-01,curbside
49,"Plastics (""Commingled"")",Downtown,,2018-01-01,curbside
50,Glass,Downtown,,2018-01-01,curbside
51,Mixed Paper,Downtown,,2018-01-01,curbside
52,Cardboard,Downtown,8300.0,2018-01-01,curbside
53,Steel/Tin,Downtown,,2018-01-01,curbside
54,Newspaper,Downtown,,2018-01-01,curbside
55,All Mixed (no glass),Downtown,60300.0,2018-01-01,curbside
56,Aluminum,KPD,,2018-01-01,other
57,"Plastics (""Commingled"")",KPD,,2018-01-01,other
58,Glass,KPD,,2018-01-01,other
59,Mixed Paper,KPD,5054.0,2018-01-01,other
60,Cardboard,KPD,,2018-01-01,other
61,Steel/Tin,KPD,,2018-01-01,other
62,Newspaper,KPD,,2018-01-01,other
63,All Mixed (no glass),KPD,,2018-01-01,other
64,Aluminum,Recycling Trailer,0.0,2018-01-01,other
65,"Plastics (""Commingled"")",Recycling Trailer,0.0,2018-01-01,other
66,Glass,Recycling Trailer,0.0,2018-01-01,other
67,Mixed Paper,Recycling Trailer,0.0,2018-01-01,other
68,Cardboard,Recycling Trailer,0.0,2018-01-01,other
69,Steel/Tin,Recycling Trailer,0.0,2018-01-01,other
70,Newspaper,Recycling Trailer,0.0,2018-01-01,other
71,All Mixed (no glass),Recycling Trailer,0.0,2018-01-01,other
0,Aluminum,Magnolia & Alice,700.0,2018-02-01,drop off center
1,"Plastics (""Commingled"")",Magnolia & Alice,3740.0,2018-02-01,drop off center
2,Glass,Magnolia & Alice,5900.0,2018-02-01,drop off center
3,Mixed Paper,Magnolia & Alice,11140.0,2018-02-01,drop off center
4,Cardboard,Magnolia & Alice,4380.0,2018-02-01,drop off center
5,Steel/Tin,Magnolia & Alice,320.0,2018-02-01,drop off center
6,Newspaper,Magnolia & Alice,0.0,2018-02-01,drop off center
7,All Mixed (no glass),Magnolia & Alice,,2018-02-01,drop off center
8,Aluminum,225 Moody,460.0,2018-02-01,drop off center
9,"Plastics (""Commingled"")",225 Moody,6640.0,2018-02-01,drop off center
10,Glass,225 Moody,15280.0,2018-02-01,drop off center
11,Mixed Paper,225 Moody,24340.0,2018-02-01,drop off center
12,Cardboard,225 Moody,8560.0,2018-02-01,drop off center
13,Steel/Tin,225 Moody,780.0,2018-02-01,drop off center
14,Newspaper,225 Moody,11220.0,2018-02-01,drop off center
15,All Mixed (no glass),225 Moody,,2018-02-01,drop off center
16,Aluminum,4440 Western Av.,360.0,2018-02-01,drop off center
17,"Plastics (""Commingled"")",4440 Western Av.,4100.0,2018-02-01,drop off center
18,Glass,4440 Western Av.,13860.0,2018-02-01,drop off center
19,Mixed Paper,4440 Western Av.,7480.0,2018-02-01,drop off center
20,Cardboard,4440 Western Av.,7240.0,2018-02-01,drop off center
21,Steel/Tin,4440 Western Av.,600.0,2018-02-01,drop off center
22,Newspaper,4440 Western Av.,7760.0,2018-02-01,drop off center
23,All Mixed (no glass),4440 Western Av.,,2018-02-01,drop off center
24,Aluminum,341 Parkvillage,12220.0,2018-02-01,drop off center
25,"Plastics (""Commingled"")",341 Parkvillage,25480.0,2018-02-01,drop off center
26,Glass,341 Parkvillage,38000.0,2018-02-01,drop off center
27,Mixed Paper,341 Parkvillage,50680.0,2018-02-01,drop off center
28,Cardboard,341 Parkvillage,26720.0,2018-02-01,drop off center
29,Steel/Tin,341 Parkvillage,1900.0,2018-02-01,drop off center
30,Newspaper,341 Parkvillage,19980.0,2018-02-01,drop off center
31,All Mixed (no glass),341 Parkvillage,,2018-02-01,drop off center
32,Aluminum,227 Willow Av.,260.0,2018-02-01,other
33,"Plastics (""Commingled"")",227 Willow Av.,3560.0,2018-02-01,other
34,Glass,227 Willow Av.,17640.0,2018-02-01,other
35,Mixed Paper,227 Willow Av.,8040.0,2018-02-01,other
36,Cardboard,227 Willow Av.,6680.0,2018-02-01,other
37,Steel/Tin,227 Willow Av.,1120.0,2018-02-01,other
38,Newspaper,227 Willow Av.,0.0,2018-02-01,other
39,All Mixed (no glass),227 Willow Av.,,2018-02-01,other
40,Aluminum,Curbside City-Wide,,2018-02-01,other
41,"Plastics (""Commingled"")",Curbside City-Wide,,2018-02-01,other
42,Glass,Curbside City-Wide,,2018-02-01,other
43,Mixed Paper,Curbside City-Wide,,2018-02-01,other
44,Cardboard,Curbside City-Wide,,2018-02-01,other
45,Steel/Tin,Curbside City-Wide,,2018-02-01,other
46,Newspaper,Curbside City-Wide,,2018-02-01,other
47,All Mixed (no glass),Curbside City-Wide,661150.0,2018-02-01,other
48,Aluminum,Downtown,,2018-02-01,curbside
49,"Plastics (""Commingled"")",Downtown,,2018-02-01,curbside
50,Glass,Downtown,,2018-02-01,curbside
51,Mixed Paper,Downtown,,2018-02-01,curbside
52,Cardboard,Downtown,5340.0,2018-02-01,curbside
53,Steel/Tin,Downtown,,2018-02-01,curbside
54,Newspaper,Downtown,,2018-02-01,curbside
55,All Mixed (no glass),Downtown,58000.0,2018-02-01,curbside
56,Aluminum,KPD,,2018-02-01,other
57,"Plastics (""Commingled"")",KPD,,2018-02-01,other
58,Glass,KPD,,2018-02-01,other
59,Mixed Paper,KPD,5852.0,2018-02-01,other
60,Cardboard,KPD,,2018-02-01,other
61,Steel/Tin,KPD,,2018-02-01,other
62,Newspaper,KPD,,2018-02-01,other
63,All Mixed (no glass),KPD,,2018-02-01,other
64,Aluminum,Recycling Trailer,0.0,2018-02-01,other
65,"Plastics (""Commingled"")",Recycling Trailer,0.0,2018-02-01,other
66,Glass,Recycling Trailer,0.0,2018-02-01,other
67,Mixed Paper,Recycling Trailer,0.0,2018-02-01,other
68,Cardboard,Recycling Trailer,0.0,2018-02-01,other
69,Steel/Tin,Recycling Trailer,0.0,2018-02-01,other
70,Newspaper,Recycling Trailer,0.0,2018-02-01,other
71,All Mixed (no glass),Recycling Trailer,0.0,2018-02-01,other
0,Aluminum,Magnolia & Alice,300.0,2018-03-01,drop off center
1,"Plastics (""Commingled"")",Magnolia & Alice,5760.0,2018-03-01,drop off center
2,Glass,Magnolia & Alice,12400.0,2018-03-01,drop off center
3,Mixed Paper,Magnolia & Alice,15500.0,2018-03-01,drop off center
4,Cardboard,Magnolia & Alice,8720.0,2018-03-01,drop off center
5,Steel/Tin,Magnolia & Alice,820.0,2018-03-01,drop off center
6,Newspaper,Magnolia & Alice,0.0,2018-03-01,drop off center
7,All Mixed (no glass),Magnolia & Alice,,2018-03-01,drop off center
8,Aluminum,225 Moody,740.0,2018-03-01,drop off center
9,"Plastics (""Commingled"")",225 Moody,7900.0,2018-03-01,drop off center
10,Glass,225 Moody,18540.0,2018-03-01,drop off center
11,Mixed Paper,225 Moody,11360.0,2018-03-01,drop off center
12,Cardboard,225 Moody,8540.0,2018-03-01,drop off center
13,Steel/Tin,225 Moody,240.0,2018-03-01,drop off center
14,Newspaper,225 Moody,11920.0,2018-03-01,drop off center
15,All Mixed (no glass),225 Moody,,2018-03-01,drop off center
16,Aluminum,4440 Western Av.,0.0,2018-03-01,drop off center
17,"Plastics (""Commingled"")",4440 Western Av.,6540.0,2018-03-01,drop off center
18,Glass,4440 Western Av.,7060.0,2018-03-01,drop off center
19,Mixed Paper,4440 Western Av.,10580.0,2018-03-01,drop off center
20,Cardboard,4440 Western Av.,9320.0,2018-03-01,drop off center
21,Steel/Tin,4440 Western Av.,0.0,2018-03-01,drop off center
22,Newspaper,4440 Western Av.,0.0,2018-03-01,drop off center
23,All Mixed (no glass),4440 Western Av.,,2018-03-01,drop off center
24,Aluminum,341 Parkvillage,2720.0,2018-03-01,drop off center
25,"Plastics (""Commingled"")",341 Parkvillage,26500.0,2018-03-01,drop off center
26,Glass,341 Parkvillage,42800.0,2018-03-01,drop off center
27,Mixed Paper,341 Parkvillage,53400.0,2018-03-01,drop off center
28,Cardboard,341 Parkvillage,34820.0,2018-03-01,drop off center
29,Steel/Tin,341 Parkvillage,2000.0,2018-03-01,drop off center
30,Newspaper,341 Parkvillage,16280.0,2018-03-01,drop off center
31,All Mixed (no glass),341 Parkvillage,,2018-03-01,drop off center
32,Aluminum,227 Willow Av.,180.0,2018-03-01,other
33,"Plastics (""Commingled"")",227 Willow Av.,2940.0,2018-03-01,other
34,Glass,227 Willow Av.,19640.0,2018-03-01,other
35,Mixed Paper,227 Willow Av.,12460.0,2018-03-01,other
36,Cardboard,227 Willow Av.,7320.0,2018-03-01,other
37,Steel/Tin,227 Willow Av.,620.0,2018-03-01,other
38,Newspaper,227 Willow Av.,0.0,2018-03-01,other
39,All Mixed (no glass),227 Willow Av.,,2018-03-01,other
40,Aluminum,Curbside City-Wide,,2018-03-01,other
41,"Plastics (""Commingled"")",Curbside City-Wide,,2018-03-01,other
42,Glass,Curbside City-Wide,,2018-03-01,other
43,Mixed Paper,Curbside City-Wide,,2018-03-01,other
44,Cardboard,Curbside City-Wide,,2018-03-01,other
45,Steel/Tin,Curbside City-Wide,,2018-03-01,other
46,Newspaper,Curbside City-Wide,,2018-03-01,other
47,All Mixed (no glass),Curbside City-Wide,740780.0,2018-03-01,other
48,Aluminum,Downtown,,2018-03-01,curbside
49,"Plastics (""Commingled"")",Downtown,,2018-03-01,curbside
50,Glass,Downtown,,2018-03-01,curbside
51,Mixed Paper,Downtown,,2018-03-01,curbside
52,Cardboard,Downtown,5640.0,2018-03-01,curbside
53,Steel/Tin,Downtown,,2018-03-01,curbside
54,Newspaper,Downtown,,2018-03-01,curbside
55,All Mixed (no glass),Downtown,56580.0,2018-03-01,curbside
56,Aluminum,KPD,,2018-03-01,other
57,"Plastics (""Commingled"")",KPD,,2018-03-01,other
58,Glass,KPD,,2018-03-01,other
59,Mixed Paper,KPD,7874.0,2018-03-01,other
60,Cardboard,KPD,,2018-03-01,other
61,Steel/Tin,KPD,,2018-03-01,other
62,Newspaper,KPD,,2018-03-01,other
63,All Mixed (no glass),KPD,,2018-03-01,other
64,Aluminum,Recycling Trailer,0.0,2018-03-01,other
65,"Plastics (""Commingled"")",Recycling Trailer,0.0,2018-03-01,other
66,Glass,Recycling Trailer,0.0,2018-03-01,other
67,Mixed Paper,Recycling Trailer,0.0,2018-03-01,other
68,Cardboard,Recycling Trailer,0.0,2018-03-01,other
69,Steel/Tin,Recycling Trailer,0.0,2018-03-01,other
70,Newspaper,Recycling Trailer,0.0,2018-03-01,other
71,All Mixed (no glass),Recycling Trailer,0.0,2018-03-01,other
0,Aluminum,Magnolia & Alice,900.0,2018-04-01,drop off center
1,"Plastics (""Commingled"")",Magnolia & Alice,4160.0,2018-04-01,drop off center
2,Glass,Magnolia & Alice,12860.0,2018-04-01,drop off center
3,Mixed Paper,Magnolia & Alice,8640.0,2018-04-01,drop off center
4,Cardboard,Magnolia & Alice,8120.0,2018-04-01,drop off center
5,Steel/Tin,Magnolia & Alice,900.0,2018-04-01,drop off center
6,Newspaper,Magnolia & Alice,0.0,2018-04-01,drop off center
7,All Mixed (no glass),Magnolia & Alice,,2018-04-01,drop off center
8,Aluminum,225 Moody,240.0,2018-04-01,drop off center
9,"Plastics (""Commingled"")",225 Moody,7740.0,2018-04-01,drop off center
10,Glass,225 Moody,13750.0,2018-04-01,drop off center
11,Mixed Paper,225 Moody,10960.0,2018-04-01,drop off center
12,Cardboard,225 Moody,9480.0,2018-04-01,drop off center
13,Steel/Tin,225 Moody,940.0,2018-04-01,drop off center
14,Newspaper,225 Moody,24840.0,2018-04-01,drop off center
15,All Mixed (no glass),225 Moody,,2018-04-01,drop off center
16,Aluminum,4440 Western Av.,360.0,2018-04-01,drop off center
17,"Plastics (""Commingled"")",4440 Western Av.,6140.0,2018-04-01,drop off center
18,Glass,4440 Western Av.,14840.0,2018-04-01,drop off center
19,Mixed Paper,4440 Western Av.,11380.0,2018-04-01,drop off center
20,Cardboard,4440 Western Av.,8900.0,2018-04-01,drop off center
21,Steel/Tin,4440 Western Av.,800.0,2018-04-01,drop off center
22,Newspaper,4440 Western Av.,7480.0,2018-04-01,drop off center
23,All Mixed (no glass),4440 Western Av.,,2018-04-01,drop off center
24,Aluminum,341 Parkvillage,2720.0,2018-04-01,drop off center
25,"Plastics (""Commingled"")",341 Parkvillage,30720.0,2018-04-01,drop off center
26,Glass,341 Parkvillage,33080.0,2018-04-01,drop off center
27,Mixed Paper,341 Parkvillage,52900.0,2018-04-01,drop off center
28,Cardboard,341 Parkvillage,41620.0,2018-04-01,drop off center
29,Steel/Tin,341 Parkvillage,2540.0,2018-04-01,drop off center
30,Newspaper,341 Parkvillage,16340.0,2018-04-01,drop off center
31,All Mixed (no glass),341 Parkvillage,,2018-04-01,drop off center
32,Aluminum,227 Willow Av.,220.0,2018-04-01,other
33,"Plastics (""Commingled"")",227 Willow Av.,3480.0,2018-04-01,other
34,Glass,227 Willow Av.,16180.0,2018-04-01,other
35,Mixed Paper,227 Willow Av.,7920.0,2018-04-01,other
36,Cardboard,227 Willow Av.,7420.0,2018-04-01,other
37,Steel/Tin,227 Willow Av.,480.0,2018-04-01,other
38,Newspaper,227 Willow Av.,0.0,2018-04-01,other
39,All Mixed (no glass),227 Willow Av.,,2018-04-01,other
40,Aluminum,Curbside City-Wide,,2018-04-01,other
41,"Plastics (""Commingled"")",Curbside City-Wide,,2018-04-01,other
42,Glass,Curbside City-Wide,,2018-04-01,other
43,Mixed Paper,Curbside City-Wide,,2018-04-01,other
44,Cardboard,Curbside City-Wide,,2018-04-01,other
45,Steel/Tin,Curbside City-Wide,,2018-04-01,other
46,Newspaper,Curbside City-Wide,,2018-04-01,other
47,All Mixed (no glass),Curbside City-Wide,698177.0,2018-04-01,other
48,Aluminum,Downtown,,2018-04-01,curbside
49,"Plastics (""Commingled"")",Downtown,,2018-04-01,curbside
50,Glass,Downtown,,2018-04-01,curbside
51,Mixed Paper,Downtown,,2018-04-01,curbside
52,Cardboard,Downtown,3340.0,2018-04-01,curbside
53,Steel/Tin,Downtown,,2018-04-01,curbside
54,Newspaper,Downtown,,2018-04-01,curbside
55,All Mixed (no glass),Downtown,65680.0,2018-04-01,curbside
56,Aluminum,KPD,,2018-04-01,other
57,"Plastics (""Commingled"")",KPD,,2018-04-01,other
58,Glass,KPD,,2018-04-01,other
59,Mixed Paper,KPD,5852.0,2018-04-01,other
60,Cardboard,KPD,,2018-04-01,other
61,Steel/Tin,KPD,,2018-04-01,other
62,Newspaper,KPD,,2018-04-01,other
63,All Mixed (no glass),KPD,,2018-04-01,other
64,Aluminum,Recycling Trailer,0.0,2018-04-01,other
65,"Plastics (""Commingled"")",Recycling Trailer,0.0,2018-04-01,other
66,Glass,Recycling Trailer,0.0,2018-04-01,other
67,Mixed Paper,Recycling Trailer,0.0,2018-04-01,other
68,Cardboard,Recycling Trailer,0.0,2018-04-01,other
69,Steel/Tin,Recycling Trailer,0.0,2018-04-01,other
70,Newspaper,Recycling Trailer,0.0,2018-04-01,other
71,All Mixed (no glass),Recycling Trailer,0.0,2018-04-01,other
0,Aluminum,Magnolia & Alice,780.0,2018-05-01,drop off center
1,"Plastics (""Commingled"")",Magnolia & Alice,8000.0,2018-05-01,drop off center
2,Glass,Magnolia & Alice,7500.0,2018-05-01,drop off center
3,Mixed Paper,Magnolia & Alice,13500.0,2018-05-01,drop off center
4,Cardboard,Magnolia & Alice,18060.0,2018-05-01,drop off center
5,Steel/Tin,Magnolia & Alice,0.0,2018-05-01,drop off center
6,Newspaper,Magnolia & Alice,8400.0,2018-05-01,drop off center
7,All Mixed (no glass),Magnolia & Alice,,2018-05-01,drop off center
8,Aluminum,225 Moody,860.0,2018-05-01,drop off center
9,"Plastics (""Commingled"")",225 Moody,10220.0,2018-05-01,drop off center
10,Glass,225 Moody,22460.0,2018-05-01,drop off center
11,Mixed Paper,225 Moody,14640.0,2018-05-01,drop off center
12,Cardboard,225 Moody,9560.0,2018-05-01,drop off center
13,Steel/Tin,225 Moody,1560.0,2018-05-01,drop off center
14,Newspaper,225 Moody,30000.0,2018-05-01,drop off center
15,All Mixed (no glass),225 Moody,,2018-05-01,drop off center
16,Aluminum,4440 Western Av.,380.0,2018-05-01,drop off center
17,"Plastics (""Commingled"")",4440 Western Av.,6000.0,2018-05-01,drop off center
18,Glass,4440 Western Av.,9520.0,2018-05-01,drop off center
19,Mixed Paper,4440 Western Av.,14560.0,2018-05-01,drop off center
20,Cardboard,4440 Western Av.,10540.0,2018-05-01,drop off center
21,Steel/Tin,4440 Western Av.,1020.0,2018-05-01,drop off center
22,Newspaper,4440 Western Av.,0.0,2018-05-01,drop off center
23,All Mixed (no glass),4440 Western Av.,,2018-05-01,drop off center
24,Aluminum,341 Parkvillage,3660.0,2018-05-01,drop off center
25,"Plastics (""Commingled"")",341 Parkvillage,29680.0,2018-05-01,drop off center
26,Glass,341 Parkvillage,48000.0,2018-05-01,drop off center
27,Mixed Paper,341 Parkvillage,53940.0,2018-05-01,drop off center
28,Cardboard,341 Parkvillage,37320.0,2018-05-01,drop off center
29,Steel/Tin,341 Parkvillage,2060.0,2018-05-01,drop off center
30,Newspaper,341 Parkvillage,22680.0,2018-05-01,drop off center
31,All Mixed (no glass),341 Parkvillage,,2018-05-01,drop off center
32,Aluminum,227 Willow Av.,680.0,2018-05-01,other
33,"Plastics (""Commingled"")",227 Willow Av.,4440.0,2018-05-01,other
34,Glass,227 Willow Av.,15080.0,2018-05-01,other
35,Mixed Paper,227 Willow Av.,7700.0,2018-05-01,other
36,Cardboard,227 Willow Av.,9260.0,2018-05-01,other
37,Steel/Tin,227 Willow Av.,1020.0,2018-05-01,other
38,Newspaper,227 Willow Av.,5320.0,2018-05-01,other
39,All Mixed (no glass),227 Willow Av.,,2018-05-01,other
40,Aluminum,Curbside City-Wide,,2018-05-01,other
41,"Plastics (""Commingled"")",Curbside City-Wide,,2018-05-01,other
42,Glass,Curbside City-Wide,,2018-05-01,other
43,Mixed Paper,Curbside City-Wide,,2018-05-01,other
44,Cardboard,Curbside City-Wide,,2018-05-01,other
45,Steel/Tin,Curbside City-Wide,,2018-05-01,other
46,Newspaper,Curbside City-Wide,,2018-05-01,other
47,All Mixed (no glass),Curbside City-Wide,740330.0,2018-05-01,other
48,Aluminum,Downtown,,2018-05-01,curbside
49,"Plastics (""Commingled"")",Downtown,,2018-05-01,curbside
50,Glass,Downtown,,2018-05-01,curbside
51,Mixed Paper,Downtown,,2018-05-01,curbside
52,Cardboard,Downtown,12500.0,2018-05-01,curbside
53,Steel/Tin,Downtown,,2018-05-01,curbside
54,Newspaper,Downtown,,2018-05-01,curbside
55,All Mixed (no glass),Downtown,71540.0,2018-05-01,curbside
56,Aluminum,KPD,,2018-05-01,other
57,"Plastics (""Commingled"")",KPD,,2018-05-01,other
58,Glass,KPD,,2018-05-01,other
59,Mixed Paper,KPD,6601.0,2018-05-01,other
60,Cardboard,KPD,,2018-05-01,other
61,Steel/Tin,KPD,,2018-05-01,other
62,Newspaper,KPD,,2018-05-01,other
63,All Mixed (no glass),KPD,,2018-05-01,other
64,Aluminum,Recycling Trailer,0.0,2018-05-01,other
65,"Plastics (""Commingled"")",Recycling Trailer,0.0,2018-05-01,other
66,Glass,Recycling Trailer,0.0,2018-05-01,other
67,Mixed Paper,Recycling Trailer,0.0,2018-05-01,other
68,Cardboard,Recycling Trailer,0.0,2018-05-01,other
69,Steel/Tin,Recycling Trailer,0.0,2018-05-01,other
70,Newspaper,Recycling Trailer,0.0,2018-05-01,other
71,All Mixed (no glass),Recycling Trailer,0.0,2018-05-01,other
0,Aluminum,Magnolia & Alice,840.0,2018-06-01,drop off center
1,"Plastics (""Commingled"")",Magnolia & Alice,6700.0,2018-06-01,drop off center
2,Glass,Magnolia & Alice,11180.0,2018-06-01,drop off center
3,Mixed Paper,Magnolia & Alice,20360.0,2018-06-01,drop off center
4,Cardboard,Magnolia & Alice,14780.0,2018-06-01,drop off center
5,Steel/Tin,Magnolia & Alice,520.0,2018-06-01,drop off center
6,Newspaper,Magnolia & Alice,0.0,2018-06-01,drop off center
7,All Mixed (no glass),Magnolia & Alice,,2018-06-01,drop off center
8,Aluminum,225 Moody,540.0,2018-06-01,drop off center
9,"Plastics (""Commingled"")",225 Moody,4580.0,2018-06-01,drop off center
10,Glass,225 Moody,9120.0,2018-06-01,drop off center
11,Mixed Paper,225 Moody,19520.0,2018-06-01,drop off center
12,Cardboard,225 Moody,8860.0,2018-06-01,drop off center
13,Steel/Tin,225 Moody,420.0,2018-06-01,drop off center
14,Newspaper,225 Moody,16700.0,2018-06-01,drop off center
15,All Mixed (no glass),225 Moody,,2018-06-01,drop off center
16,Aluminum,4440 Western Av.,0.0,2018-06-01,drop off center
17,"Plastics (""Commingled"")",4440 Western Av.,6620.0,2018-06-01,drop off center
18,Glass,4440 Western Av.,12940.0,2018-06-01,drop off center
19,Mixed Paper,4440 Western Av.,9780.0,2018-06-01,drop off center
20,Cardboard,4440 Western Av.,10120.0,2018-06-01,drop off center
21,Steel/Tin,4440 Western Av.,,2018-06-01,drop off center
22,Newspaper,4440 Western Av.,0.0,2018-06-01,drop off center
23,All Mixed (no glass),4440 Western Av.,,2018-06-01,drop off center
24,Aluminum,341 Parkvillage,2840.0,2018-06-01,drop off center
25,"Plastics (""Commingled"")",341 Parkvillage,27680.0,2018-06-01,drop off center
26,Glass,341 Parkvillage,43680.0,2018-06-01,drop off center
27,Mixed Paper,341 Parkvillage,52300.0,2018-06-01,drop off center
28,Cardboard,341 Parkvillage,33020.0,2018-06-01,drop off center
29,Steel/Tin,341 Parkvillage,2360.0,2018-06-01,drop off center
30,Newspaper,341 Parkvillage,12160.0,2018-06-01,drop off center
